,post_id,likes_count,reposts_count,comments_count,time
318,420974.0,442.0,1.0,68.0,1479866512.0
319,420825.0,759.0,15.0,55.0,1479841703.0
320,420819.0,896.0,12.0,22.0,1479841648.0
321,420801.0,606.0,5.0,46.0,1479841382.0
322,420784.0,887.0,27.0,31.0,1479841020.0
323,420633.0,795.0,33.0,44.0,1479816481.0
324,420594.0,345.0,1.0,33.0,1479813654.0
325,420546.0,944.0,57.0,24.0,1479811707.0
326,420542.0,320.0,7.0,39.0,1479811641.0
327,420518.0,441.0,3.0,40.0,1479810376.0
328,420426.0,485.0,40.0,34.0,1479794340.0
329,420423.0,1362.0,49.0,25.0,1479794234.0
330,420393.0,619.0,8.0,37.0,1479790688.0
331,420332.0,517.0,12.0,39.0,1479768267.0
332,420215.0,540.0,9.0,53.0,1479754536.0
333,420206.0,567.0,12.0,47.0,1479754396.0
334,420104.0,664.0,15.0,55.0,1479746062.0
335,420084.0,725.0,13.0,35.0,1479745822.0
336,420073.0,1029.0,36.0,34.0,1479745675.0
337,419972.0,608.0,13.0,37.0,1479737504.0
338,419964.0,629.0,11.0,23.0,1479737393.0
339,419958.0,458.0,3.0,19.0,1479737266.0
340,419919.0,358.0,5.0,23.0,1479735753.0
341,419910.0,133.0,2.0,27.0,1479735523.0
342,419828.0,80.0,2.0,28.0,1479723565.0
343,419757.0,460.0,9.0,42.0,1479719274.0
344,419709.0,651.0,17.0,49.0,1479718116.0
345,419692.0,856.0,12.0,42.0,1479717749.0
346,419664.0,346.0,4.0,30.0,1479716665.0
347,419483.0,938.0,23.0,52.0,1479668960.0
348,419429.0,711.0,23.0,51.0,1479664294.0
349,419367.0,395.0,12.0,56.0,1479657650.0
350,419257.0,1509.0,26.0,57.0,1479652768.0
351,419193.0,620.0,12.0,85.0,1479651265.0
352,419178.0,485.0,13.0,21.0,1479650612.0
353,419149.0,600.0,22.0,27.0,1479648960.0
354,419037.0,325.0,24.0,15.0,1479631413.0
355,419017.0,219.0,2.0,34.0,1479630417.0
356,419001.0,715.0,20.0,50.0,1479629616.0
357,418986.0,638.0,11.0,24.0,1479628828.0
358,418953.0,407.0,19.0,36.0,1479625235.0
359,418945.0,1040.0,20.0,28.0,1479625039.0
360,418817.0,33.0,2.0,42.0,1479580899.0
361,418713.0,238.0,9.0,38.0,1479565876.0
362,418649.0,466.0,8.0,44.0,1479560842.0
363,418521.0,588.0,39.0,63.0,1479550787.0
364,418484.0,586.0,17.0,25.0,1479549432.0
365,418483.0,912.0,40.0,46.0,1479549413.0
366,418364.0,70.0,2.0,17.0,1479536509.0
367,418341.0,473.0,6.0,36.0,1479535139.0
368,418284.0,490.0,6.0,57.0,1479532613.0
369,418283.0,605.0,7.0,24.0,1479532584.0
370,418254.0,115.0,1.0,52.0,1479524788.0
371,418032.0,700.0,60.0,40.0,1479488989.0
372,418023.0,702.0,22.0,37.0,1479488916.0
373,418020.0,1748.0,109.0,30.0,1479488880.0
374,418019.0,466.0,7.0,16.0,1479488849.0
375,417908.0,205.0,1.0,56.0,1479480484.0
376,417901.0,350.0,11.0,23.0,1479480375.0
377,417821.0,556.0,14.0,47.0,1479471796.0
378,417715.0,620.0,20.0,47.0,1479460817.0
379,417611.0,127.0,6.0,54.0,1479455641.0
380,417575.0,655.0,7.0,36.0,1479454094.0
381,417510.0,529.0,7.0,32.0,1479452542.0
